,Name,Seating Type,Type,Latitude,Longitude
0,Soul Cafe,Seats - Indoor,Cafes and Restaurants,-37.8131,144.965
2,Hotel Swanston,Seats - Indoor,Accommodation,-37.8131,144.965
3,Yoyogi Japanese Cafe,Seats - Outdoor,Cafes and Restaurants,-37.8128,144.965
5,Crown Cafe Bakery,Seats - Indoor,Cafes and Restaurants,-37.8128,144.965
7,Starbucks Coffee Company,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9658
8,Fortuna Village Restaurant,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9658
9,Diamond Coffee Lounge,Seats - Indoor,Cafes and Restaurants,-37.8128,144.9656
20,Mercure Grand Hotel on Swanston,Seats - Indoor,Accommodation,-37.8131,144.965
26,Gogo Sushi,Seats - Indoor,Cafes and Restaurants,-37.8128,144.9656
28,Adsix Kitchen & Bar,Seats - Indoor,Cafes and Restaurants,-37.8129,144.965
34,Starbucks Coffee,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9658
48,Claypot King,Seats - Outdoor,Cafes and Restaurants,-37.8129,144.965
55,Pad Thai,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9658
72,Melbourne Dae Jang Geum Korean BBQ,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9658
74,Gogo Kaiten Sushi,Seats - Indoor,Cafes and Restaurants,-37.8128,144.9656
98,Crown Cafe,Seats - Indoor,Cafes and Restaurants,-37.8128,144.965
100,NAB,Seats - Indoor,Banking,-37.8129,144.9658
101,Mister Close,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9658
120,Subway,Seats - Indoor,Takeaway Food Services,-37.8127,144.9656
135,Fat Oma,Seats - Indoor,Cafes and Restaurants,-37.8128,144.9656
140,Sam Sam,Seats - Indoor,Cafes and Restaurants,-37.8129,144.965
142,Red Piggy,Seats - Indoor,Cafes and Restaurants,-37.8127,144.965
153,The Pancake Parlour,Seats - Indoor,Cafes and Restaurants,-37.8142,144.9652
154,Da Hu the Great Tiger,Seats - Indoor,Cafes and Restaurants,-37.8127,144.965
155,The Tasty Spicy Hot Pot,Seats - Indoor,Cafes and Restaurants,-37.8128,144.9656
156,The Louden Kitchen & Grill,Seats - Indoor,Cafes and Restaurants,-37.81289591,144.9646631
165,All Seasons Welcome Hotel,Seats - Indoor,Accommodation,-37.8129,144.9646
166,Ong International Food Court,Seats - Indoor,Cafes and Restaurants,-37.8129,144.9646
169,Mercure Welcome Hotel,Seats - Indoor,Accommodation,-37.8129,144.9646
216,Centrepoint Coffee Lounge,Seats - Indoor,Cafes and Restaurants,-37.8142,144.9652
217,Hungry Jack's,Seats - Indoor,Cafes and Restaurants,-37.8142,144.9652
218,Pancake Parlour,Seats - Indoor,Cafes and Restaurants,-37.8142,144.9652
219,Asian Gourmet,Seats - Indoor,Cafes and Restaurants,-37.8142,144.9652
220,Due Fratelli,Seats - Indoor,Cafes and Restaurants,-37.8142,144.9652
221,Swanston Walk Cafe Bar,Seats - Indoor,Cafes and Restaurants,-37.8141,144.9656
236,eLounge,Seats - Indoor,Internet Service Providers and Web Search Portals,-37.8142,144.9656
244,Elounge Internet & Network Games,Seats - Indoor,Internet Service Providers and Web Search Portals,-37.8142,144.9656
252,E lounge Internet & Network Games,Seats - Indoor,Internet Service Providers and Web Search Portals,-37.8142,144.9656
277,Rozzi's,Seats - Indoor,Cafes and Restaurants,-37.8141,144.9656
280,Demorli,Seats - Indoor,Cafes and Restaurants,-37.8061,144.9556
281,Nando's,Seats - Indoor,Cafes and Restaurants,-37.8061,144.9556
283,Yummy Yummy,Seats - Indoor,Takeaway Food Services,-37.8061,144.9556
285,The White Lotus Vegetarian Cafe,Seats - Indoor,Cafes and Restaurants,-37.806,144.9554
286,Victoria Hotel,Seats - Indoor,"Pubs, Taverns and Bars",-37.8056,144.9557
304,Soju Sushi & Bulgogi,Seats - Indoor,Takeaway Food Services,-37.8061,144.9556
305,The White Lotus Vegetarian Restaurant,Seats - Indoor,Cafes and Restaurants,-37.806,144.9554
324,Market Star Cafe,Seats - Indoor,Cafes and Restaurants,-37.8062,144.9556
326,The Grill,Seats - Outdoor,Takeaway Food Services,-37.8062,144.9556
330,Mr Lee,Seats - Indoor,Takeaway Food Services,-37.8061,144.9556
374,Majestic Cakery,Seats - Indoor,Bakery Product Manufacturing (Non-factory based),-37.8062,144.9556
394,Melbourne Kebab Cafe,Seats - Indoor,Takeaway Food Services,-37.8056,144.9555
396,Sate Plus,Seats - Indoor,Bakery Product Manufacturing (Non-factory based),-37.8062,144.9556
398,Hello Jose,Seats - Indoor,Cafes and Restaurants,-37.8062,144.9556
400,Soolzip Korean,Seats - Indoor,Takeaway Food Services,-37.8061,144.9556
403,Chickilia,Seats - Indoor,Takeaway Food Services,-37.8061,144.9556
404,vacant,Seats - Indoor,Vacant Space,-37.806,144.9554
416,Lukumades,Seats - Outdoor,Takeaway Food Services,-37.8063,144.9556
418,Chef Panda 888,Seats - Indoor,Cafes and Restaurants,-37.8062,144.9556
426,Loving Hut,Seats - Indoor,Cafes and Restaurants,-37.806,144.9554
438,Maria Trattoria,Seats - Indoor,Cafes and Restaurants,-37.8052,144.9565
439,La Porchetta,Seats - Indoor,Cafes and Restaurants,-37.8057,144.9564
440,Cydus Internet Network Game,Seats - Indoor,Internet Service Providers and Web Search Portals,-37.8057,144.9567
441,Vietnam House Restaurant,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9569
442,The Victorian Sandwich Bar,Seats - Indoor,Takeaway Food Services,-37.8058,144.9574
443,Da Lat Restaurant,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
446,Cydus Internet & Lan Games,Seats - Indoor,Internet Service Providers and Web Search Portals,-37.8057,144.9567
447,Lang Viet,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9569
448,Cafe Avanti,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
449,Satay Inn,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
460,Victoria Street Cafe,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
475,Hallah,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
487,Schon Cafe Restaurant & Function Venue,Seats - Indoor,Technical and Vocational Education and Training,-37.8055,144.9565
491,Woo-Ga,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
517,Kari Leaf,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9569
518,Donwoori,Seats - Indoor,Cafes and Restaurants,-37.8058,144.9574
529,Yeonga,Seats - Indoor,Cafes and Restaurants,-37.8056,144.9569
571,Hotel Lindrum,Seats - Indoor,Accommodation,-37.8153,144.9736
572,Shell,Seats - Indoor,Oil and Gas Extraction,-37.815,144.974
573,Mecure Hotel,Seats - Indoor,Accommodation,-37.8148,144.9742
578,Mercure Hotel,Seats - Indoor,Accommodation,-37.8148,144.9742
583,The Truffula Seed Cafe,Seats - Indoor,Cafes and Restaurants,-37.815,144.974
587,Felt Restaurant,Seats - Indoor,Cafes and Restaurants,-37.8153,144.9736
609,Verge,Seats - Indoor,Cafes and Restaurants,-37.8145,144.9741
611,Verge Restuarant,Seats - Indoor,Cafes and Restaurants,-37.8145,144.9741
635,Nama Nama,Seats - Indoor,Cafes and Restaurants,-37.8145,144.9741
641,Kappo,Seats - Indoor,Cafes and Restaurants,-37.8145,144.9741
