,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
10,Hungry Jack's,3.2,"Fast Food, Burger",2,-37.8127580221,144.967895709,21,Bourke St-Russell St (West)
11,Udon Yasan,4.0,Japanese,2,-37.8127723253,144.9677619338,21,Bourke St-Russell St (West)
12,Heroes,3.0,"Asian, Malaysian, Singaporean",3,-37.8127704712,144.9677076191,21,Bourke St-Russell St (West)
13,Tiger Tea 虎將,3.4,"Bubble Tea, Beverages",1,-37.8125956539,144.9674098939,21,Bourke St-Russell St (West)
14,Two Peck Crispy Chicken,3.4,Taiwanese,1,-37.8124870551,144.9673582614,21,Bourke St-Russell St (West)
15,Sushi Hotaru,4.3,"Japanese, Sushi",3,-37.8124311664,144.9673512206,21,Bourke St-Russell St (West)
16,Nong Tang Noodle House,3.9,"Chinese, Shanghai, Dumplings",3,-37.8124261338,144.9673378095,21,Bourke St-Russell St (West)
17,Nitro Lab,3.3,"Desserts, Ice Cream",1,-37.8128107321,144.9676958844,21,Bourke St-Russell St (West)
18,Kaneda Japanese Restaurant,4.3,"Japanese, Sushi",2,-37.8126168439,144.9673482031,21,Bourke St-Russell St (West)
19,Wagaya,4.2,"Japanese, Sushi",3,-37.8123948785,144.9673015997,21,Bourke St-Russell St (West)
26,Lane Restaurant,3.2,Modern Australian,4,-37.8157944792,144.9649372324,53,Collins Street (North)
28,Whirl'd Juice,3.3,Beverages,2,-37.8161139038,144.9653281644,53,Collins Street (North)
50,Cafe L'Incontro,2.2,"Coffee and Tea, Italian, Cafe Food",2,-37.8144463119,144.9661670253,4,Town Hall (West)
52,Gopal's Vegetarian,4.4,"Indian, Healthy Food, Vegetarian",2,-37.8143541377,144.9659447372,4,Town Hall (West)
54,Tsujiri,3.7,"Japanese, Desserts, Coffee and Tea",1,-37.8142781203,144.966047667,4,Town Hall (West)
56,Gongcha,2.7,"Bubble Tea, Taiwanese",1,-37.8142185248,144.9660060927,4,Town Hall (West)
59,Yifang Taiwan Fruit Tea - Swanston 一芳臺灣水果茶,3.1,"Bubble Tea, Asian",1,-37.8141811783,144.9660050869,4,Town Hall (West)
60,Pure South Kitchen,3.4,"Asian Fusion, Modern Australian",3,-37.8202223336,144.9652527273,35,Southbank
61,Ponyfish Island,4.3,Bar Food,3,-37.8199953589,144.9650488794,35,Southbank
62,Pure South Dining,4.1,"Seafood, Steak, Modern Australian",4,-37.8203245647,144.9654713273,35,Southbank
63,Waterfront Southgate,4.1,"Seafood, Modern Australian",4,-37.8203242999,144.9656674638,35,Southbank
64,Hophaus,4.0,"European, German",4,-37.8203719723,144.9658052623,35,Southbank
65,Tutto Bene,4.1,Italian,4,-37.8203166193,144.966037944,35,Southbank
66,BearBrass,3.6,"Pizza, Modern Australian",4,-37.8202594123,144.9660781771,35,Southbank
67,P.J.O'Brien's,4.0,Irish,4,-37.8203706481,144.9661200866,35,Southbank
68,Damon Bradley,3.4,"Desserts, Coffee and Tea, Cafe Food",3,-37.8203637621,144.9661707133,35,Southbank
69,China Bar ,0.0,"Dumplings, Chinese",2,-37.8201632726,144.9662521854,35,Southbank
70,Lindt Chocolate Cafe,3.7,"Desserts, Coffee and Tea, Cafe Food",2,-37.8203502549,144.9662481621,35,Southbank
71,Bluetrain,3.7,Modern Australian,4,-37.8202806001,144.9662642553,35,Southbank
72,Melba,4.4,Contemporary,4,-37.8209220576,144.9658562243,35,Southbank
73,Cups n Cones ,3.8,"Ice Cream, Desserts",1,-37.8201685695,144.9663145468,35,Southbank
74,YASSAS - The Greek Way,3.8,"Greek, Street Food",4,-37.8202827188,144.9663098529,35,Southbank
75,Little India,2.9,"Indian, Fast Food",2,-37.8202578232,144.9663185701,35,Southbank
76,Think Asia,3.1,Asian,2,-37.8201653914,144.9663242698,35,Southbank
77,Aria Bar & Lounge,3.8,"Modern Australian, Tea",3,-37.820863262,144.966000393,35,Southbank
78,Ludlow Bar & Dining Room,3.7,"BBQ, European",4,-37.8206304626,144.9639656022,35,Southbank
79,Bluetrain Expresso Café,3.2,"Coffee and Tea, Cafe Food",2,-37.8203550221,144.9663417041,35,Southbank
80,Rising Embers by Dainty Sichuan,4.1,"Chinese, BBQ, Sichuan, Asian",4,-37.811709642,144.9683181569,20,Chinatown-Lt Bourke St (South)
81,Grandma's Noodles 外婆小面,4.0,"Asian, Chinese",2,-37.8116418332,144.9682517722,20,Chinatown-Lt Bourke St (South)
82,Ginza Teppanyaki,3.9,"Japanese, Teppanyaki, Sushi",4,-37.8116701751,144.9683342502,20,Chinatown-Lt Bourke St (South)
83,Ishiya Stone Grill,4.5,Japanese,4,-37.8116606395,144.9681528658,20,Chinatown-Lt Bourke St (South)
84,Ginza Izakaya,3.5,"Cafe Food, Japanese, Tea",3,-37.8116513688,144.9684016407,20,Chinatown-Lt Bourke St (South)
87,Shanghai Street Xiaolongbao & Dumpling,4.1,Chinese,3,-37.8116026311,144.9683775008,20,Chinatown-Lt Bourke St (South)
89,Ants Bistro,4.3,"Asian, Chinese",3,-37.8113554991,144.9683332443,20,Chinatown-Lt Bourke St (South)
90,Ori Tea 有茶,4.0,"Beverages, Bubble Tea",1,-37.8115009177,144.9687127769,20,Chinatown-Lt Bourke St (South)
91,Home Kitchen & Bar,3.8,Modern Australian,4,-37.8114283409,144.9677059427,20,Chinatown-Lt Bourke St (South)
92,Golden Seasons Saloon,3.7,"Chinese, Asian",2,-37.8114683376,144.9688207358,20,Chinatown-Lt Bourke St (South)
93,Medoza Social Club,0.0,Bar Food,1,-37.8112103451,144.9683684483,20,Chinatown-Lt Bourke St (South)
94,House of Maximón,3.6,"Bar Food, Latin American",3,-37.8112055772,144.9683781713,20,Chinatown-Lt Bourke St (South)
95,City Orchids Garden,2.9,"Chinese, Asian",3,-37.8115226378,144.9688968435,20,Chinatown-Lt Bourke St (South)
96,Pulp Club,3.3,Bar Food,4,-37.8111695535,144.9683416262,20,Chinatown-Lt Bourke St (South)
97,Berlin Bar,4.1,"Bar Food, German",3,-37.8111790892,144.968415387,20,Chinatown-Lt Bourke St (South)
101,Felt Restaurant - Hotel Lindrum,3.9,"Contemporary, Italian, Australian",4,-37.815514518,144.97373119,34,Flinders St-Spark La
102,Cumulus Up,4.4,"European, Contemporary",4,-37.8149021488,144.9732520804,34,Flinders St-Spark La
103,Hihou,4.3,Japanese,3,-37.8144494903,144.9741905183,34,Flinders St-Spark La
104,Denton Wine Bar,3.4,"Modern European, Bar Food",3,-37.8144396902,144.9743142352,34,Flinders St-Spark La
105,Fonda,4.2,Mexican,3,-37.814732634,144.9732436985,34,Flinders St-Spark La
106,Cumulus Inc.,4.7,"Modern European, Contemporary",4,-37.814794348,144.9731357396,34,Flinders St-Spark La
107,Tom Thumb,3.9,"Coffee and Tea, Sandwich",1,-37.8148330186,144.9728956819,34,Flinders St-Spark La
108,Kenzan Japanese,4.6,"Japanese, Sushi",4,-37.8146303951,144.9727967754,34,Flinders St-Spark La
109,Di Stasio Citta,3.2,Italian,4,-37.8140725818,144.9742099643,34,Flinders St-Spark La
