Hour,Flinders St-Spark La,QVM-Franklin St (North),Lygon St (East)
0,33.94490358126722,39.893150684931506,28.296703296703296
1,17.346260387811633,24.34246575342466,16.59779614325069
2,8.895043731778426,15.936813186813186,8.67887323943662
3,6.395209580838324,12.101369863013698,7.008403361344538
4,7.2395543175487465,10.269972451790634,8.502808988764045
5,25.723287671232878,13.002747252747254,10.31868131868132
6,49.44931506849315,35.03013698630137,11.22038567493113
7,108.64657534246575,65.77260273972603,39.67857142857143
8,215.5041095890411,125.83561643835617,91.34065934065934
9,192.1205479452055,152.72876712328767,110.82739726027397
10,185.37260273972603,189.86849315068494,133.22739726027396
11,186.5972602739726,226.16986301369863,182.4191780821918
12,282.50274725274727,298.09589041095893,300.24931506849316
13,300.89835164835165,300.0876712328767,302.41917808219176
14,227.2164383561644,250.13698630136986,234.80547945205478
15,212.76712328767124,217.73972602739727,214.61369863013698
16,249.88219178082193,201.18356164383562,205.15342465753426
17,323.21643835616436,207.1041095890411,247.46849315068494
18,242.03287671232877,197.70958904109588,269.44109589041096
19,158.48219178082192,178.35342465753425,283.3013698630137
20,126.35890410958905,146.31506849315068,289.32876712328766
21,110.03287671232877,123.23835616438356,242.2554945054945
22,150.53972602739725,88.04657534246576,151.87087912087912
23,92.41369863013699,60.62739726027397,71.1510989010989
