Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
Soul Cafe,3.0,"Coffee and Tea, Cafe Food",3,-37.813075076,144.9652812257,1,Bourke Street Mall (North)
Song Tea,3.5,Bubble Tea,1,-37.8138103604,144.9656000733,1,Bourke Street Mall (North)
Sensory Lab - Bourke Street,3.4,"Coffee and Tea, Sandwich, Desserts",2,-37.8133982206,144.9644993618,1,Bourke Street Mall (North)
SamSam,4.0,Korean,3,-37.8128854265,144.9652101472,1,Bourke Street Mall (North)
Boost Juice,3.7,"Juices, Beverages",1,-37.8137979115,144.965848513,1,Bourke Street Mall (North)
The Tasty Spicy Hot Pot,3.2,"Chinese, Malatang",2,-37.8128708585,144.9653952196,1,Bourke Street Mall (North)
Mister Close,4.3,"Healthy Food, Coffee and Tea, Cafe Food",2,-37.8131646031,144.9658857286,1,Bourke Street Mall (North)
Superhiro,3.4,"Japanese, Sushi",3,-37.8127556382,144.9651477858,1,Bourke Street Mall (North)
David Jones Food Hall - Bakery ,0.0,Bakery,2,-37.814179589,144.9648021162,1,Bourke Street Mall (North)
Instea,3.5,"Bubble Tea, Tea",1,-37.812835,144.965579,1,Bourke Street Mall (North)
David Jones Food Hall - Sushi Bar ,0.0,"Japanese, Sushi",2,-37.8142021029,144.9648738653,1,Bourke Street Mall (North)
"Louden Kitchen & Grill - The Swanston Hotel Melbourne, Grand Mercure",2.9,Modern Australian,4,-37.812888605,144.9645935744,1,Bourke Street Mall (North)
David Jones Foodhall - Espresso Bar,3.4,"Bakery, Desserts",1,-37.8142288547,144.9649174511,1,Bourke Street Mall (North)
Pink. The Restaurant,2.2,Italian,4,-37.8140696682,144.9657834694,1,Bourke Street Mall (North)
Eva's Restaurant & Bar,0.0,Modern Australian,4,-37.8128139106,144.9646408483,1,Bourke Street Mall (North)
Rozzi's Italian Canteen,3.0,"Cafe Food, Italian",2,-37.8141165501,144.965801239,1,Bourke Street Mall (North)
Sushi Jin,3.0,"Japanese, Sushi",2,-37.8129240981,144.9659239501,1,Bourke Street Mall (North)
Zao Buer Sichuan Style BBQ 灶不贰把把烧,0.0,"Chinese, BBQ",1,-37.812662,144.964959,1,Bourke Street Mall (North)
Da Hu The Great Tiger 大虎,4.0,"Hot Pot, Chinese",3,-37.812662,144.964924,1,Bourke Street Mall (North)
Felt Restaurant - Hotel Lindrum,3.9,"Contemporary, Italian, Australian",4,-37.815514518,144.97373119,34,Flinders St-Spark La
Cumulus Up,4.4,"European, Contemporary",4,-37.8149021488,144.9732520804,34,Flinders St-Spark La
Hihou,4.3,Japanese,3,-37.8144494903,144.9741905183,34,Flinders St-Spark La
