,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
0,Little Bang Espresso,3.6,Cafe,1,-37.8079323835,144.9632554874,61,RMIT Building 14
1,The College Dropout,3.9,Fast Food,2,-37.8077411315,144.9635706469,61,RMIT Building 14
2,Poolhouse Coffee,3.7,Desserts,2,-37.8072492248,144.9631207064,61,RMIT Building 14
3,Standing Room,3.5,Cafe,2,-37.8080274796,144.9634100497,61,RMIT Building 14
9,The Vine Coffee Roasters,3.5,Cafe,2,-37.8083082638,144.9630563334,61,RMIT Building 14
10,The Bean Project,3.3,Cafe,1,-37.8083620365,144.9630791321,61,RMIT Building 14
12,Sichuan Dining Room,3.0,Restaurant,3,-37.8070508188,144.9624910578,61,RMIT Building 14
13,Kaki Lima,3.7,Restaurant,1,-37.8080966162,144.962255694,61,RMIT Building 14
14,The Oxford Scholar Hotel,3.3,Pub,3,-37.8084772637,144.9631746858,61,RMIT Building 14
16,Pork Belly House Melbourne,3.5,Restaurant,3,-37.806971,144.962347,61,RMIT Building 14
17,No.1 Delicious,3.9,Restaurant,3,-37.8078693393,144.9618282169,61,RMIT Building 14
18,Captain Melville,4.3,Restaurant,3,-37.8076725243,144.9616817012,61,RMIT Building 14
19,Sarawak Kitchen Express,3.4,Restaurant,2,-37.8079170198,144.9617055059,61,RMIT Building 14
28,Sensory Lab - Collins Street,3.5,Cafe,2,-37.8134866878,144.9725469947,17,Collins Place (South)
37,Little Collins St Kitchen,3.9,Restaurant,4,-37.812888605,144.9727518484,17,Collins Place (South)
40,Oriental Spoon,4.2,Restaurant,3,-37.8117684449,144.9619174004,47,Melbourne Central-Elizabeth St (East)
41,Dong Ting - Little Fish and Rice Town 洞庭渔米湘菜馆,3.3,Restaurant,3,-37.8117554659,144.9618775025,47,Melbourne Central-Elizabeth St (East)
42,Prime Hai Tea,3.4,Beverages,1,-37.8115623696,144.9618265405,47,Melbourne Central-Elizabeth St (East)
43,G2 Korean BBQ,4.0,Restaurant,3,-37.8115846194,144.9618231878,47,Melbourne Central-Elizabeth St (East)
44,Easy Pot by Dainty Sichuan,3.8,Restaurant,3,-37.8115324383,144.9618013948,47,Melbourne Central-Elizabeth St (East)
45,Pepper Lunch,4.0,Restaurant,3,-37.8114378765,144.9617433921,47,Melbourne Central-Elizabeth St (East)
46,Fresh Air & Pancake 鲜の芙蕾,3.9,Desserts,2,-37.811648,144.96167,47,Melbourne Central-Elizabeth St (East)
47,Noodle Villa by Dainty Sichuan,3.5,Restaurant,2,-37.8120849733,144.9620394409,47,Melbourne Central-Elizabeth St (East)
48,Tanghuo Kungfu,3.9,Restaurant,2,-37.8120998064,144.9620498344,47,Melbourne Central-Elizabeth St (East)
50,Chilli India,4.3,Restaurant,3,-37.8110405568,144.9623499066,47,Melbourne Central-Elizabeth St (East)
51,Xing Fu Tang,4.1,Beverages,1,-37.8121925132,144.9620324001,47,Melbourne Central-Elizabeth St (East)
52,Tokyo Japanese Restaurant,3.9,Restaurant,3,-37.8112188212,144.9616032466,47,Melbourne Central-Elizabeth St (East)
53,Ms Pretea,3.7,Beverages,1,-37.812222974,144.961925447,47,Melbourne Central-Elizabeth St (East)
55,Umi Rice Yoghurt ,3.1,Beverages,1,-37.8122619108,144.961906001,47,Melbourne Central-Elizabeth St (East)
56,Chilli Everest,3.6,Restaurant,2,-37.8109038784,144.9624065682,47,Melbourne Central-Elizabeth St (East)
57,The Souffle,2.8,Desserts,2,-37.8115949497,144.9612652883,47,Melbourne Central-Elizabeth St (East)
58,Pretzel,3.8,Bakery,1,-37.8108291819,144.9624367431,47,Melbourne Central-Elizabeth St (East)
59,Fourteen on 10,3.6,Cafe,1,-37.810806667,144.9620169774,47,Melbourne Central-Elizabeth St (East)
60,Ganache Chocolate,4.3,Cafe,2,-37.8159120785,144.9655678868,53,Collins Street (North)
61,Dymocks Books Cafe,3.8,Cafe,2,-37.815506572,144.9658223614,53,Collins Street (North)
62,Royal St. Collins,2.9,Cafe,4,-37.8154249937,144.965033792,53,Collins Street (North)
63,Papadam,3.2,Restaurant,2,-37.8154822045,144.9649932236,53,Collins Street (North)
66,Lane Restaurant,3.2,Restaurant,4,-37.8157944792,144.9649372324,53,Collins Street (North)
68,Whirl'd Juice,3.3,Beverages,2,-37.8161139038,144.9653281644,53,Collins Street (North)
69,Shujinko - St Collins Lane,3.8,Restaurant,2,-37.8153569235,144.9649607018,53,Collins Street (North)
70,Maccaroni Trattoria Italiana,4.4,Restaurant,3,-37.8160071642,144.9659581482,53,Collins Street (North)
71,Think Asia - St Collins Lane,3.2,Restaurant,2,-37.8153958586,144.9649010226,53,Collins Street (North)
72,Poke Workshop,3.2,Fast Food,2,-37.8152671342,144.9650187045,53,Collins Street (North)
73,Thai Viet Bibigo,4.1,Restaurant,2,-37.815056301,144.9657724053,53,Collins Street (North)
75,1932 Cafe & Restaurant,3.7,Cafe,3,-37.815414664,144.9662612379,53,Collins Street (North)
76,Three Drops Espresso,3.8,Cafe,2,-37.8157412416,144.9663225934,53,Collins Street (North)
77,Princes Pies,3.6,Cafe,1,-37.8150094197,144.965248704,53,Collins Street (North)
78,Sushi Boto,3.2,Restaurant,3,-37.815139469,144.9649332091,53,Collins Street (North)
79,Switchboard,4.3,Cafe,2,-37.8152782585,144.9662360922,53,Collins Street (North)
80,Soul Cafe,3.0,Cafe,3,-37.813075076,144.9652812257,1,Bourke Street Mall (North)
81,Song Tea,3.5,Beverages,1,-37.8138103604,144.9656000733,1,Bourke Street Mall (North)
82,Sensory Lab - Bourke Street,3.4,Cafe,2,-37.8133982206,144.9644993618,1,Bourke Street Mall (North)
