,Name,Aggregate Rating,Type,Price,Latitude,Longitude
0,Doughboys Doughnuts,4.0,"Coffee and Tea, Desserts",1,-37.8159507485,144.9578592181
1,Bluestones Cafe,3.0,"Coffee and Tea, Cafe Food",2,-37.8154896207,144.9585881084
2,Sakae,2.7,"Japanese, Sushi",2,-37.8155775557,144.9575474113
3,Crisp,3.8,"Healthy Food, Vegetarian, Salad",2,-37.8155780854,144.9575085193
4,Pho Melbourne,3.1,Vietnamese,2,-37.8150732525,144.9580325559
5,Roll'd - CBW,3.7,"Vietnamese, Healthy Food",2,-37.8153254045,144.9574226886
6,Chilangos,3.5,Mexican,2,-37.8152189287,144.9573720619
7,Blended Beard,3.3,Coffee and Tea,2,-37.8151566852,144.9573670328
8,Rock the Wok,3.8,"Thai, Asian",2,-37.8151225175,144.9573683739
9,Cocoa Bean,3.3,"Coffee and Tea, Sandwich",2,-37.8158506302,144.9590243027
10,Jolly J's Restaurant,3.7,"Asian, Sri Lankan, Modern Australian",3,-37.8151635717,144.9572865665
11,Etto Pasta Bar,3.3,"Italian, Pizza",3,-37.8163848575,144.9579470605
12,Berto's,3.8,"Italian, Cafe Food",3,-37.8147853425,144.9579799175
13,EARL Canteen,4.4,"Sandwich, Coffee and Tea",2,-37.8149495599,144.9587349594
14,Bourke And Wills,3.4,"Cafe Food, Coffee and Tea",3,-37.8151031823,144.9572406337
15,The Tuck Shop,3.2,"Sandwich, Coffee and Tea",1,-37.8151942962,144.9590403959
16,Little Cupcakes,4.1,"Desserts, Coffee and Tea",1,-37.815024782,144.9572979659
17,Saigon Pho,3.1,"Vietnamese, Pho",2,-37.8149228084,144.9588385597
18,Spin Coffee,3.2,"Coffee and Tea, Healthy Food, Cafe Food",2,-37.81647544,144.9583379924
19,Patricia Coffee Brewers,4.9,Coffee and Tea,1,-37.8147135635,144.9582602084
20,Happy Lemon - Elizabeth Street,3.9,"Coffee and Tea, Beverages",1,-37.8080248307,144.9604512379
21,David's Spicy Pot大味麻辣烫 - Elizabeth Street,4.4,"Chinese, Malatang",3,-37.8079175496,144.9604297802
